Red,Green,Blue
0.549,0.255,0.196
0.551,0.245,0.204
0.556,0.244,0.2
0.545,0.25,0.205
0.548,0.238,0.214
0.561,0.244,0.195
0.55,0.25,0.2
0.55,0.25,0.2
0.564,0.231,0.205
0.564,0.231,0.205
0.55,0.25,0.2
0.548,0.238,0.214
0.545,0.25,0.205
0.543,0.239,0.217
0.551,0.245,0.204
0.538,0.25,0.212
0.542,0.25,0.208
0.556,0.244,0.2
0.556,0.244,0.2
0.556,0.244,0.2
0.556,0.244,0.2
0.545,0.25,0.205
0.545,0.25,0.205
0.561,0.244,0.195
0.55,0.25,0.2
0.564,0.231,0.205
0.553,0.237,0.211
0.553,0.237,0.211
0.553,0.237,0.211
0.553,0.237,0.211
0.541,0.243,0.216
0.571,0.229,0.2
0.556,0.25,0.194
0.559,0.235,0.206
0.559,0.235,0.206
0.559,0.235,0.206
0.545,0.242,0.212
0.559,0.235,0.206
0.559,0.235,0.206
0.556,0.25,0.194
0.553,0.237,0.211
0.561,0.244,0.195
0.556,0.244,0.2
0.551,0.245,0.204
0.543,0.239,0.217
0.558,0.233,0.209
0.55,0.25,0.2
0.564,0.231,0.205
0.564,0.231,0.205
0.553,0.237,0.211
0.556,0.25,0.194
0.545,0.242,0.212
0.567,0.233,0.2
0.571,0.214,0.214
0.593,0.222,0.185
0.593,0.222,0.185
0.577,0.231,0.192
0.6,0.2,0.2
0.6,0.2,0.2
0.6,0.2,0.2
0.577,0.231,0.192
0.577,0.231,0.192
0.593,0.222,0.185
0.567,0.233,0.2
0.581,0.226,0.194
0.581,0.226,0.194
0.581,0.226,0.194
0.545,0.242,0.212
0.559,0.235,0.206
0.559,0.235,0.206
0.553,0.237,0.211
0.545,0.25,0.205
0.551,0.245,0.204
0.538,0.25,0.212
0.542,0.25,0.208
0.542,0.25,0.208
0.542,0.25,0.208
0.542,0.25,0.208
0.556,0.244,0.2
0.545,0.25,0.205
0.548,0.238,0.214
0.561,0.244,0.195
0.55,0.25,0.2
0.564,0.231,0.205
0.564,0.231,0.205
0.553,0.237,0.211
0.553,0.237,0.211
0.553,0.237,0.211
0.556,0.25,0.194
0.553,0.237,0.211
0.556,0.25,0.194
0.553,0.237,0.211
0.571,0.229,0.2
0.556,0.25,0.194
0.556,0.25,0.194
0.541,0.243,0.216
0.556,0.25,0.194
0.553,0.237,0.211
0.553,0.237,0.211
0.564,0.231,0.205
0.55,0.25,0.2
0.558,0.233,0.209
0.553,0.234,0.213
0.551,0.245,0.204
0.542,0.25,0.208
0.543,0.239,0.217
